created_at,entry_id,field1,field2,field3
2024-03-27 04:39:59 UTC,15336,37.31,19.4,911.88
2024-03-27 04:40:00 UTC,15337,38.16,25.15,1740.43
2024-03-27 04:40:01 UTC,15338,20.9,14.97,846.03
2024-03-27 04:40:03 UTC,15339,18.11,32.21,530.55
2024-03-27 04:40:05 UTC,15340,-33.55,96.27,1579.12
2024-03-27 04:40:06 UTC,15341,-0.18,5.2,1429.62
2024-03-27 04:40:07 UTC,15342,33.43,76.31,1187.31
2024-03-27 04:40:08 UTC,15343,-21.46,53.04,1343.26
2024-03-27 04:40:09 UTC,15344,-24.47,54.52,778.75
2024-03-27 04:40:10 UTC,15345,27.62,36.21,1786.42
2024-03-27 04:40:11 UTC,15346,-1.55,72.83,1160.59
2024-03-27 04:40:12 UTC,15347,6.06,51.53,1506.8
2024-03-27 04:40:14 UTC,15348,1.59,4.01,1798.26
2024-03-27 04:40:15 UTC,15349,40.7,12.91,1070.27
2024-03-27 04:40:16 UTC,15350,38.87,87.57,1424.4
2024-03-27 04:41:24 UTC,15351,-34.2,40.86,1902.27
2024-03-27 04:41:25 UTC,15352,12.69,45.95,798.33
2024-03-27 04:41:26 UTC,15353,26.07,12.42,1620.4
2024-03-27 04:41:27 UTC,15354,13.3,95.57,433.9
2024-03-27 04:41:28 UTC,15355,42.42,17.32,1969.44
2024-03-27 04:41:29 UTC,15356,42.36,25.54,1726.25
2024-03-27 04:41:30 UTC,15357,9.91,63.99,1296.51
2024-03-27 04:41:31 UTC,15358,22.86,20.51,923.64
2024-03-27 04:41:32 UTC,15359,14.5,80.43,962.9
2024-03-27 04:41:33 UTC,15360,-35.66,10.99,1318.5
2024-03-27 04:41:34 UTC,15361,38.99,51.54,891.57
2024-03-27 04:41:35 UTC,15362,-34.14,53.88,1595.87
2024-03-27 04:41:36 UTC,15363,-31.53,19.15,420.81
2024-03-27 04:41:37 UTC,15364,28.79,79.79,341.05
2024-03-27 04:41:38 UTC,15365,-44.2,28.68,1905.35
2024-03-27 04:41:39 UTC,15366,-29.88,94.67,1415.51
2024-03-27 04:41:40 UTC,15367,-15.52,84.66,445.75
2024-03-27 04:41:41 UTC,15368,-42.79,47.78,922.47
2024-03-27 04:41:42 UTC,15369,-13.23,82.79,923.33
2024-03-27 04:41:43 UTC,15370,1.46,87.06,402.12
2024-03-27 04:41:44 UTC,15371,-13.91,23.55,621.55
2024-03-27 04:41:45 UTC,15372,-5.08,24.11,1807.78
2024-03-27 04:41:46 UTC,15373,-46.15,58.22,1540.23
2024-03-27 04:41:48 UTC,15374,-1.46,61.97,1377.33
2024-03-27 04:41:49 UTC,15375,-39.55,81.22,711.25
2024-03-27 04:41:50 UTC,15376,48.99,28.37,620.62
2024-03-27 04:41:51 UTC,15377,1.38,49.09,471.62
2024-03-27 04:47:42 UTC,15378,11.46,44.14,1535.32
2024-03-27 04:47:44 UTC,15379,-8.03,92.37,1104.21
2024-03-27 04:47:45 UTC,15380,25.55,43.73,1923.7
2024-03-27 04:47:49 UTC,15381,9.11,10.88,1014.93
2024-03-27 04:47:50 UTC,15382,11.41,70.63,862.22
2024-03-27 04:47:51 UTC,15383,-5.17,39.93,1139.76
2024-03-27 04:47:53 UTC,15384,7.39,57.77,1387.99
